Iterações entre number1 / number2: 32400
+0 0/1 / +1 = +0
+0 0/1 / +2 = +0
+0 0/1 / +3 = +0
+0 0/1 / +4 = +0
+0 0/1 / +5 = +0
+0 0/1 / +6 = +0
+0 0/1 / +7 = +0
+0 0/1 / +8 = +0
+0 0/1 / +9 = +0
+0 0/1 / -1 = +0
+0 0/1 / -2 = +0
+0 0/1 / -3 = +0
+0 0/1 / -4 = +0
+0 0/1 / -5 = +0
+0 0/1 / -6 = +0
+0 0/1 / -7 = +0
+0 0/1 / -8 = +0
+0 0/1 / -9 = +0
+0 0/2 / +1 = +0
+0 0/2 / +2 = +0
+0 0/2 / +3 = +0
+0 0/2 / +4 = +0
+0 0/2 / +5 = +0
+0 0/2 / +6 = +0
+0 0/2 / +7 = +0
+0 0/2 / +8 = +0
+0 0/2 / +9 = +0
+0 0/2 / -1 = +0
+0 0/2 / -2 = +0
+0 0/2 / -3 = +0
+0 0/2 / -4 = +0
+0 0/2 / -5 = +0
+0 0/2 / -6 = +0
+0 0/2 / -7 = +0
+0 0/2 / -8 = +0
+0 0/2 / -9 = +0
+0 0/3 / +1 = +0
+0 0/3 / +2 = +0
+0 0/3 / +3 = +0
+0 0/3 / +4 = +0
+0 0/3 / +5 = +0
+0 0/3 / +6 = +0
+0 0/3 / +7 = +0
+0 0/3 / +8 = +0
+0 0/3 / +9 = +0
+0 0/3 / -1 = +0
+0 0/3 / -2 = +0
+0 0/3 / -3 = +0
+0 0/3 / -4 = +0
+0 0/3 / -5 = +0
+0 0/3 / -6 = +0
+0 0/3 / -7 = +0
+0 0/3 / -8 = +0
+0 0/3 / -9 = +0
+0 0/4 / +1 = +0
+0 0/4 / +2 = +0
+0 0/4 / +3 = +0
+0 0/4 / +4 = +0
+0 0/4 / +5 = +0
+0 0/4 / +6 = +0
+0 0/4 / +7 = +0
+0 0/4 / +8 = +0
+0 0/4 / +9 = +0
+0 0/4 / -1 = +0
+0 0/4 / -2 = +0
+0 0/4 / -3 = +0
+0 0/4 / -4 = +0
+0 0/4 / -5 = +0
+0 0/4 / -6 = +0
+0 0/4 / -7 = +0
+0 0/4 / -8 = +0
+0 0/4 / -9 = +0
+0 0/5 / +1 = +0
+0 0/5 / +2 = +0
+0 0/5 / +3 = +0
+0 0/5 / +4 = +0
+0 0/5 / +5 = +0
+0 0/5 / +6 = +0
+0 0/5 / +7 = +0
+0 0/5 / +8 = +0
+0 0/5 / +9 = +0
+0 0/5 / -1 = +0
+0 0/5 / -2 = +0
+0 0/5 / -3 = +0
+0 0/5 / -4 = +0
+0 0/5 / -5 = +0
+0 0/5 / -6 = +0
+0 0/5 / -7 = +0
+0 0/5 / -8 = +0
+0 0/5 / -9 = +0
+0 0/6 / +1 = +0
+0 0/6 / +2 = +0
+0 0/6 / +3 = +0
+0 0/6 / +4 = +0
+0 0/6 / +5 = +0
+0 0/6 / +6 = +0
+0 0/6 / +7 = +0
+0 0/6 / +8 = +0
+0 0/6 / +9 = +0
+0 0/6 / -1 = +0
+0 0/6 / -2 = +0
+0 0/6 / -3 = +0
+0 0/6 / -4 = +0
+0 0/6 / -5 = +0
+0 0/6 / -6 = +0
+0 0/6 / -7 = +0
+0 0/6 / -8 = +0
+0 0/6 / -9 = +0
+0 0/7 / +1 = +0
+0 0/7 / +2 = +0
+0 0/7 / +3 = +0
+0 0/7 / +4 = +0
+0 0/7 / +5 = +0
+0 0/7 / +6 = +0
+0 0/7 / +7 = +0
+0 0/7 / +8 = +0
+0 0/7 / +9 = +0
+0 0/7 / -1 = +0
+0 0/7 / -2 = +0
+0 0/7 / -3 = +0
+0 0/7 / -4 = +0
+0 0/7 / -5 = +0
+0 0/7 / -6 = +0
+0 0/7 / -7 = +0
+0 0/7 / -8 = +0
+0 0/7 / -9 = +0
+0 0/8 / +1 = +0
+0 0/8 / +2 = +0
+0 0/8 / +3 = +0
+0 0/8 / +4 = +0
+0 0/8 / +5 = +0
+0 0/8 / +6 = +0
+0 0/8 / +7 = +0
+0 0/8 / +8 = +0
+0 0/8 / +9 = +0
+0 0/8 / -1 = +0
+0 0/8 / -2 = +0
+0 0/8 / -3 = +0
+0 0/8 / -4 = +0
+0 0/8 / -5 = +0
+0 0/8 / -6 = +0
+0 0/8 / -7 = +0
+0 0/8 / -8 = +0
+0 0/8 / -9 = +0
+0 0/9 / +1 = +0
+0 0/9 / +2 = +0
+0 0/9 / +3 = +0
+0 0/9 / +4 = +0
+0 0/9 / +5 = +0
+0 0/9 / +6 = +0
+0 0/9 / +7 = +0
+0 0/9 / +8 = +0
+0 0/9 / +9 = +0
+0 0/9 / -1 = +0
+0 0/9 / -2 = +0
+0 0/9 / -3 = +0
+0 0/9 / -4 = +0
+0 0/9 / -5 = +0
+0 0/9 / -6 = +0
+0 0/9 / -7 = +0
+0 0/9 / -8 = +0
+0 0/9 / -9 = +0
+0 1/1 / +1 = +1
+0 1/1 / +2 = +1/2
+0 1/1 / +3 = +1/3
+0 1/1 / +4 = +1/4
+0 1/1 / +5 = +1/5
+0 1/1 / +6 = +1/6
+0 1/1 / +7 = +1/7
+0 1/1 / +8 = +1/8
+0 1/1 / +9 = +1/9
+0 1/1 / -1 = -1
+0 1/1 / -2 = -1/2
+0 1/1 / -3 = -1/3
+0 1/1 / -4 = -1/4
+0 1/1 / -5 = -1/5
+0 1/1 / -6 = -1/6
+0 1/1 / -7 = -1/7
+0 1/1 / -8 = -1/8
+0 1/1 / -9 = -1/9
+0 1/2 / +1 = +1/2
+0 1/2 / +2 = +1/4
+0 1/2 / +3 = +1/6
+0 1/2 / +4 = +1/8
+0 1/2 / +5 = +1/10
+0 1/2 / +6 = +1/12
+0 1/2 / +7 = +1/14
+0 1/2 / +8 = +1/16
+0 1/2 / +9 = +1/18
+0 1/2 / -1 = -1/2
+0 1/2 / -2 = -1/4
+0 1/2 / -3 = -1/6
+0 1/2 / -4 = -1/8
+0 1/2 / -5 = -1/10
+0 1/2 / -6 = -1/12
+0 1/2 / -7 = -1/14
+0 1/2 / -8 = -1/16
+0 1/2 / -9 = -1/18
+0 1/3 / +1 = +1/3
+0 1/3 / +2 = +1/6
+0 1/3 / +3 = +1/9
+0 1/3 / +4 = +1/12
+0 1/3 / +5 = +1/15
+0 1/3 / +6 = +1/18
+0 1/3 / +7 = +1/21
+0 1/3 / +8 = +1/24
+0 1/3 / +9 = +1/27
+0 1/3 / -1 = -1/3
+0 1/3 / -2 = -1/6
+0 1/3 / -3 = -1/9
+0 1/3 / -4 = -1/12
+0 1/3 / -5 = -1/15
+0 1/3 / -6 = -1/18
+0 1/3 / -7 = -1/21
+0 1/3 / -8 = -1/24
+0 1/3 / -9 = -1/27
+0 1/4 / +1 = +1/4
+0 1/4 / +2 = +1/8
+0 1/4 / +3 = +1/12
+0 1/4 / +4 = +1/16
+0 1/4 / +5 = +1/20
+0 1/4 / +6 = +1/24
+0 1/4 / +7 = +1/28
+0 1/4 / +8 = +1/32
+0 1/4 / +9 = +1/36
+0 1/4 / -1 = -1/4
+0 1/4 / -2 = -1/8
+0 1/4 / -3 = -1/12
+0 1/4 / -4 = -1/16
+0 1/4 / -5 = -1/20
+0 1/4 / -6 = -1/24
+0 1/4 / -7 = -1/28
+0 1/4 / -8 = -1/32
+0 1/4 / -9 = -1/36
+0 1/5 / +1 = +1/5
+0 1/5 / +2 = +1/10
+0 1/5 / +3 = +1/15
+0 1/5 / +4 = +1/20
